Document ID,Terms
21,"['size', 'room', 'lottery', 'like', 'oops', 'gasbag', 'big', 'less', 'roll', 'go', 'girl', 'pocket', 'whip', 'yeah', 'leave', 'shooter', 'gone', 'masseuse', 'chocolate', 'buy', 'bag', 'sweater', 'im', 'money', 'backwood', 'drift', 'skip', 'every', 'whipping', 'soft', 'hot', 'bounce', 'end', 'goose', 'cute', 'straight', 'watch', 'fuck', 'left', 'front', 'cappin', 'land', 'lift', 'really', 'fucking', 'old', 'zoomin', 'vroomin', 'shampoo', 'carpet', 'life', 'baggage', 'get', 'might', 'ta', 'stuffed', 'boot', 'shift', 'donut', 'packed', 'shoe', 'pack', 'giving', 'eye', 'engine', 'divvy', 'stew', 'care', 'thats', 'scene', 'plane', 'picking', 'jam', 'rover', 'sr3mm', 'nigga', 'laughin', 'cost', 'mean', 'cordial', 'as', 'head', 'v', 'keep', 'juice', 'square', 'ima', 'cough', 'plush', 'grass', 'gettin', 'scurr', 'rum', 'smoke', 'tofu', 'mall', 'lookin', 'car', 'sweet', 'continent', 'ayy', 'natural', 'got', 'chanel', 'passin', 'discus', 'look', 'grey', 'cant', 'thing', 'bit', 'grab', 'wild', 'move', 'telemundo', 'action', 'call', 'rae', 'increasing', 'drop', 'drip', 'threw', 'foreign', 'day', 'hey', 'turtle', 'valentino', 'snag', 'bought', 'wow', 'yall', 'urkel', 'making', 'european', 'stoppin', 'circle', 'supa', 'coppin', 'glued', 'paying', 'ooh', 'blunts', 'bentley', 'back', 'hoe', 'wan', '42', 'goofy', 'kid', 'shit', 'lou', 'bos', 'tokyo', 'oneseater', 'band', 'movin', 'brag', 'slut', 'g', 'smoking', 'fertile', 'em', 'goo', 'walk', 'way', 'fuckin', 'cool', 'purple', 'juvies', 'swoop', 'milfs', 'dont', 'louis', 'word', 'let', 'scorching', 'better', 'mute', 'traffic', 'send', 'watchin', 'vvs', 'cash', 'private', 'whole', 'aint', 'commercial', 'ice', 'rollin', 'uh', 'sale', 'loud', 'chief', 'sremmurd', 'new', 'fruit', 'seat', 'sore', 'loser', 'hit', 'eating', 'diamond', 'young', 'sixgear', 'tantrum', 'gon', 'virgil', 'box', 'yah', 'meal', 'range', 'baby', 'top', 'check', 'bitch', 'shop', 'gucci', 'store', 'spa', 'bottom', 'lifestyle', 'sir', 'super', 'throwin', 'shade', 'cop', 'throw', 'ey', 'shot', 'coupe']"
22,"['foot', 'hour', 'deep', 'seen', 'let', 'shake', 'used', 'cant', 'better', 'see', 'somebody', 'move', 'go', 'beating', 'drop', 'record', 'yeah', 'oh', 'aint', 'engine', 'anthem', 'hey', 'ghost', 'stay', 'needle', 'alarm', 'arm', 'friend', 'say', 'gaslight', 'hand', 'heart', 'lay', 'bleeds', 'every', 'keep', 'turn', 'else', 'baby', 'sens', 'song', 'tickticking', 'side', 'key', 'long', 'hear', 'sleeping', 'flip', '45', 'dance', 'night', 'way', 'ah']"
23,"['1999', 'ring', 'used', 'like', 'fill', 'ever', 'better', 'voodoo', 'dumb', 'segas', 'well', 'teeth', 'love', 'go', 'electronics', 'na', 'strong', 'yeah', 'wipe', 'fine', 'oh', 'aint', 'eye', 'tv', 'day', 'milky', 'live', 'card', 'nintendo', 'ghost', 'stay', 'stardust', 'come', 'millionaire', 'body', 'sony', 'money', 'young', 'fear', 'gold', 'diamond', 'kaleidoscope', 'barn', 'back', '1990', 'white', 'light', 'trading', 'chemical', 'gon', 'hot', 'baby', 'swing', 'sleep', 'courtney', 'wed', 'living', 'whatever', 'atari', 'ferrari', 'behind', 'economics', '99', 'night', 'way', 'talk', 'said', 'got']"
24,"['like', 'far', 'hard', 'big', 'go', 'oh', 'pick', 'two', 'beth', 'guess', 'put', 'im', 'sometimes', 'news', 'everyone', 'without', 'ended', 'wheres', 'really', 'tree', 'emily', 'broadway', 'lock', 'youre', 'life', 'liberal', 'point', 'get', 'flare', 'finally', 'al', 'shift', 'lot', 'musical', 'want', 'allison', 'good', 'would', 'dramatic', 'betty', 'pull', 'eye', 'label', 'coffee', 'sydney', 'stand', 'newspaper', 'thats', 'know', 'anything', 'bohemian', 'say', 'expert', 'copout', 'responded', 'mean', 'maybe', 'whale', 'putting', 'roberta', 'keep', 'opinion', 'dear', 'didnt', 'taking', 'intelectual', 'colindrez', 'else', 'gay', 'tell', 'never', 'could', 'fun', 'typical', 'car', 'week', 'talk', 'crewcut', 'got', 'doesnt', 'tone', 'cant', 'god', 'thing', 'around', 'see', 'bit', 'anyway', 'touch', 'ill', 'michael', 'cause', 'bad', 'still', 'seriously', 'barrette', 'back', 'allknowing', 'kid', 'thought', 'cerveris', 'home', 'flair', 'wisdom', 'caption', 'couple', 'hustler', 'blood', 'time', 'cruising', 'hero', 'advice', 'way', 'happened', 'went', 'broadminded', 'dont', 'pretty', 'human', 'well', 'dad', 'deal', 'letter', 'need', 'new', 'pressure', 'sorry', 'surprising', 'eighteenhour', 'malone', 'lucas', 'lorna', 'upset', 'skeggs', 'experiment', 'hair', 'though', 'ive', 'mother', 'worth', 'wrapped']"
25,"['life', 'lip', 'ever', 'la', 'laura', 'see', 'okay', 'lalala', 'he', 'charming', 'good', 'prince', 'charlotte', 'know', 'going', 'tremble', 'say', 'whispering', 'darling', 'lovely', 'fly', 'please', 'keep', 'dream', 'finer', 'star', 'play', 'pianoforte', 'osnes', 'never', 'hazy', 'away', 'meet', 'heaven', 'kiss', 'youll', 'goodbye', 'night', 'love']"
26,"['dama', 'orgulho', 'chama', 'tarô', 'vi', 'achar', 'búzios', 'qualquer', 'desvendar', 'jogada', 'coração', 'dessa', 'apostar', 'aos', 'adrenalina', 'emoção', 'reservou', 'acende', 'faz', 'avenida', 'está', 'na', 'minha', 'diversão', 'tabuleiro', 'que', 'amor', 'vencedor', 'peças', 'encontrar', 'quero', 'fantasia', 'seu', 'castelo', 'pra', 'conta', 'virar', 'vida', 'cabeça', 'de', 'esse', 'cantar', 'vencer', 'ma', 'muito', 'e', 'vamos', 'dia', 'pinball', 'tempo', 'vai', 'você', 'é', 'feliz', 'fundo', 'prazer', 'se', 'meu', 'dar', 'mudar', 'amar', 'mergulhar', 'euforia', 'deixar', 'cassino', 'grande', 'ser', 'faço', 'cartas', 'essa', 'perceber', 'em', 'meio', 'toma', 'xequemate', 'da', 'jogo', 'estacio', 'destino', 'com', 'hoje', 'dominguinhos', 'lançada', 'paixão', 'alegria', 'quebrar', 'vou', 'povo', 'ganhar', 'nesse', 'vira', 'nessa', 'viradouro', 'sou', 'te', 'bi', 'respiro', 'país', 'brincar', 'multidão', 'sorte', 'eu', 'coisa', 'um']"
27,"['one', 'desiree', 'cant', 'would', 'yes', 'insensitive', 'course', 'act', 'dreamed', 'friend', 'seem', 'say', 'darling', 'catherine', 'month', 'ask', 'virgin', 'wonder', '11', 'old', 'moth', 'zetajones']"
28,"['b', 'e', 'full', 'one', 'beautiful', 'charm', 'exciting', 'p', 'n', 'alphabetically', 'like', 'speaking', 'adorable', 'c', 'look', 'made', 'w', 'blond', 'brian', 'okay', 'z', 'jack', 'go', 'good', 'bashful', 'eye', 'day', 'alphabet', 'l', 'x', 'idolize', 'darling', 'life', 'mean', 'h', 'cutie', 'v', 'light', 'r', 'jill', 'q', 'tell', 'could', 'j', 'fun', 'kissable', 'complete', 'g', 'u', 'youre', 'wander', 'heavenly', 'sweet', 'k', 'hyland', 'love']"
29,"['b', 'e', 'full', 'one', 'beautiful', 'charm', 'exciting', 'p', 'n', 'alphabetically', 'like', 'speaking', 'adorable', 'c', 'look', 'made', 'w', 'brian', 'okay', 'z', 'jack', 'go', 'good', 'eye', 'day', 'alphabet', 'l', 'x', 'idolize', 'darling', 'life', 'mean', 'h', 'cutie', 'v', 'light', 'r', 'jill', 'q', 'tell', 'could', 'j', 'fun', 'kissable', 'complete', 'g', 'u', 'youre', 'wander', 'heavenly', 'sweet', 'k', 'hyland', 'love']"
30,"['b', 'e', 'full', 'one', 'beautiful', 'charm', 'exciting', 'p', 'n', 'alphabetically', 'like', 'speaking', 'adorable', 'c', 'look', 'made', 'w', 'okay', 'z', 'jack', 'go', 'diana', 'good', 'eye', 'day', 'f', 'alphabet', 'arm', 'l', 'x', 'idolize', 'darling', 'life', 'mean', 'h', 'cutie', 'panton', 'v', 'light', 'r', 'jill', 'q', 'tell', 'feather', 'could', 'j', 'fun', 'kissable', 'wonder', 'complete', 'g', 'u', 'youre', 'heavenly', 'sweet', 'k', 'love']"
